system_name,HBM_power(W),HTC(kW/(m2K)),TIM_conductivity(W/(mK)),infill_conductivity(W/(mK)),underfill_conductivity(W/(mK)),HBM_stack_height,dummy_Si,calibrate_GPU_slope,calibrate_GPU_intercept,calibrate_HBM_slope,calibrate_HBM_intercept
2p5D_1GPU,9.0,7.0,5,1.6,1.6,16,False,0.188,31.32,0.189,30.93
2p5D_1GPU,9.4,7.0,5,1.6,1.6,16,False,0.190,31.26,0.191,30.87
2p5D_1GPU,10.1218,7.0,5,1.6,1.6,16,False,0.192,31.15,0.193,30.76
2p5D_1GPU,9.0,7.0,5,1.6,19,16,False,0.187,30.96,0.186,31.24
2p5D_1GPU,9.4,7.0,5,1.6,19,16,False,0.189,30.84,0.188,31.14
2p5D_1GPU,10.1218,7.0,5,1.6,19,16,False,0.191,30.74,0.190,31.04
2p5D_1GPU,9.0,7.0,5,19,1.6,16,False,0.185,31.24,0.189,30.98
2p5D_1GPU,9.4,7.0,5,19,1.6,16,False,0.186,31.19,0.190,30.91
2p5D_1GPU,10.1218,7.0,5,19,1.6,16,False,0.188,31.08,0.192,30.80
2p5D_1GPU,9.0,7.0,5,19,19,16,False,0.186,31.02,0.185,31.30
2p5D_1GPU,9.4,7.0,5,19,19,16,False,0.187,31.05,0.187,31.20
2p5D_1GPU,10.1218,7.0,5,19,19,16,False,0.189,31.04,0.189,31.07
2p5D_1GPU,9.0,7.0,10,1.6,1.6,16,False,0.176,31.88,0.175,32.08
2p5D_1GPU,9.4,7.0,10,1.6,1.6,16,False,0.177,31.83,0.176,32.02
2p5D_1GPU,10.1218,7.0,10,1.6,1.6,16,False,0.178,31.71,0.179,31.89
2p5D_1GPU,9.0,7.0,10,1.6,19,16,False,0.174,32.01,0.171,32.37
2p5D_1GPU,9.4,7.0,10,1.6,19,16,False,0.175,31.95,0.173,32.32
2p5D_1GPU,10.1218,7.0,10,1.6,19,16,False,0.177,31.86,0.175,32.22
2p5D_1GPU,9.0,7.0,10,19,1.6,16,False,0.175,31.87,0.174,32.16
2p5D_1GPU,9.4,7.0,10,19,1.6,16,False,0.176,31.82,0.175,32.11
2p5D_1GPU,10.1218,7.0,10,19,1.6,16,False,0.178,31.72,0.178,32.00
2p5D_1GPU,9.0,7.0,10,19,19,16,False,0.173,32.11,0.171,32.37
2p5D_1GPU,9.4,7.0,10,19,19,16,False,0.174,32.06,0.173,32.32
2p5D_1GPU,10.1218,7.0,10,19,19,16,False,0.176,31.97,0.175,32.22
2p5D_1GPU,9.0,7.0,50,1.6,1.6,16,False,0.163,32.84,0.162,33.10
2p5D_1GPU,9.4,7.0,50,1.6,1.6,16,False,0.164,32.79,0.163,33.04
2p5D_1GPU,10.1218,7.0,50,1.6,1.6,16,False,0.166,32.70,0.165,32.95
2p5D_1GPU,9.0,7.0,50,1.6,19,16,False,0.164,32.74,0.161,33.08
2p5D_1GPU,9.4,7.0,50,1.6,19,16,False,0.165,32.69,0.162,33.03
2p5D_1GPU,10.1218,7.0,50,1.6,19,16,False,0.167,32.61,0.164,32.93
